name,sponsored,cosponsored-original,cosponsored-later,titles_sponsor,titles_original_cosponsor,titles_later_cosponsor
Rep. Lieu; Ted [D-CA-36],5,0,0,Expressing support for Congress to focus on artificial intelligence.; Block Nuclear Launch by Autonomous Artificial Intelligence Act of 2023; DEVICE Act of 2023; Cyber Shield Act of 2023; National AI Commission Act,,
Rep. Eshoo; Anna G. [D-CA-16],2,3,0,Artificial Intelligence and Biosecurity Risk Assessment Act; To establish the National Artificial Intelligence Research Resource and for other purposes.,Multi-Cloud Innovation and Advancement Act of 2023; Protecting Circuit Boards and Substrates Act; National AI Commission Act,
Sen. Markey; Edward J. [D-MA],2,1,0,Artificial Intelligence and Biosecurity Risk Assessment Act; Block Nuclear Launch by Autonomous Artificial Intelligence Act of 2023,Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats,
Rep. Obernolte; Jay [R-CA-23],1,1,1,AI for National Security Act,To establish the National Artificial Intelligence Research Resource and for other purposes.,AI Accountability Act
Sen. Budd; Ted [R-NC],1,1,0,Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats,Artificial Intelligence and Biosecurity Risk Assessment Act,
Sen. Rounds; Mike [R-SD],1,1,0,Artificial Intelligence Bug Bounty Act of 2023,A bill to establish the National Artificial Intelligence Research Resource and for other purposes.,
Sen. Heinrich; Martin [D-NM],1,0,1,A bill to establish the National Artificial Intelligence Research Resource and for other purposes.,,Artificial Intelligence Bug Bounty Act of 2023
Rep. Espaillat; Adriano [D-NY-13],1,0,0,Calling on the United States to champion a regional artificial intelligence strategy in the Americas to foster inclusive artificial intelligence systems that combat biases within marginalized groups and promote social justice economic well-being and democratic values.,,
Rep. Harder; Josh [D-CA-9],1,0,0,AI Accountability Act,,
Rep. Jackson; Jeff [D-NC-14],1,0,0,Closing Loopholes for the Overseas Use and Development of Artificial Intelligence Act,,
Rep. Moore; Blake D. [R-UT-1],1,0,0,Protecting Circuit Boards and Substrates Act,,
Rep. Soto; Darren [D-FL-9],1,0,0,Jobs of the Future Act of 2023,,
Rep. Timmons; William R. IV [R-SC-4],1,0,0,Multi-Cloud Innovation and Advancement Act of 2023,,
Rep. Torres; Ritchie [D-NY-15],1,0,0,AI Disclosure Act of 2023,,
Sen. Bennet; Michael F. [D-CO],1,0,0,ASSESS AI Act,,
Sen. Duckworth; Tammy [D-IL],1,0,0,MARTTE Act of 2023,,
Sen. Hawley; Josh [R-MO],1,0,0,A bill to waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence.,,
Sen. Peters; Gary C. [D-MI],1,0,0,AI LEAD Act,,
Sen. Schatz; Brian [D-HI],1,0,0,A bill to require disclosures for AI-generated content and for other purposes.,,
